Date,Daily Open,Daily High,Daily Low,Daily Close,Volume
2020-03-16 00:00:00-04:00,842.0,854.75,821.0,821.75,162521
2020-03-17 00:00:00-04:00,824.75,832.5,822.0,824.25,124052
2020-03-18 00:00:00-04:00,824.5,838.5,822.25,825.5,131550
2020-03-19 00:00:00-04:00,829.25,855.75,825.0,843.25,146051
2020-03-20 00:00:00-04:00,845.75,864.75,845.5,862.5,123550
2020-03-23 00:00:00-04:00,860.0,885.25,858.25,884.0,137562
2020-03-24 00:00:00-04:00,884.0,887.75,872.5,886.75,101830
2020-03-25 00:00:00-04:00,885.0,897.0,880.5,881.5,101240
2020-03-26 00:00:00-04:00,882.5,884.5,871.25,880.25,92600
2020-03-27 00:00:00-04:00,879.0,888.75,875.25,881.5,85866
2020-03-30 00:00:00-04:00,880.0,892.5,876.75,882.25,75012
2020-03-31 00:00:00-04:00,882.5,887.5,875.75,886.0,100917
2020-04-01 00:00:00-04:00,885.75,887.25,860.75,862.75,91934
2020-04-02 00:00:00-04:00,864.75,870.0,857.0,858.75,89450
2020-04-03 00:00:00-04:00,859.75,864.5,850.5,854.25,83592
2020-04-06 00:00:00-04:00,853.5,859.0,848.5,855.5,68720
2020-04-07 00:00:00-04:00,856.0,862.25,854.25,854.75,86188
2020-04-08 00:00:00-04:00,855.75,860.5,851.75,854.5,79057
2020-04-09 00:00:00-04:00,855.5,867.0,853.75,863.5,105524
2020-04-13 00:00:00-04:00,864.0,870.0,850.5,854.25,89265
2020-04-14 00:00:00-04:00,854.75,856.5,845.75,847.0,102334
2020-04-15 00:00:00-04:00,847.5,852.5,838.75,842.0,111556
2020-04-16 00:00:00-04:00,840.75,846.75,835.25,836.75,64484
2020-04-17 00:00:00-04:00,839.25,842.75,831.75,832.5,56944
2020-04-20 00:00:00-04:00,833.5,835.75,824.5,826.5,52383
2020-04-21 00:00:00-04:00,826.0,833.5,808.25,830.75,85886
2020-04-22 00:00:00-04:00,831.25,839.0,827.0,834.75,79892
2020-04-23 00:00:00-04:00,834.75,848.75,833.75,839.25,67541
2020-04-24 00:00:00-04:00,840.0,843.75,827.5,832.25,68404
2020-04-27 00:00:00-04:00,831.25,838.75,827.25,829.0,60072
2020-04-28 00:00:00-04:00,829.5,835.5,822.5,826.0,63296
2020-04-29 00:00:00-04:00,825.5,835.0,824.75,831.75,32364
2020-04-30 00:00:00-04:00,833.75,851.0,833.75,850.25,5384
2020-05-01 00:00:00-04:00,849.75,850.75,842.75,847.25,2586
2020-05-04 00:00:00-04:00,843.5,843.5,831.0,834.0,675
2020-05-05 00:00:00-04:00,833.25,838.25,832.5,838.25,543
2020-05-06 00:00:00-04:00,838.25,838.25,829.5,830.5,319
2020-05-07 00:00:00-04:00,834.25,845.25,831.0,841.5,456
2020-05-08 00:00:00-04:00,842.0,856.25,842.0,848.75,404
2020-05-11 00:00:00-04:00,857.0,857.0,851.5,852.25,155
2020-05-12 00:00:00-04:00,852.75,854.75,847.5,849.25,60
2020-05-13 00:00:00-04:00,841.75,842.25,836.0,836.0,40
2020-05-14 00:00:00-04:00,837.0,837.0,835.25,835.25,66851
2020-05-15 00:00:00-04:00,838.0,843.0,836.5,838.5,64517
2020-05-18 00:00:00-04:00,840.5,847.75,838.75,845.0,65172
2020-05-19 00:00:00-04:00,846.0,848.5,839.25,842.5,71624
2020-05-20 00:00:00-04:00,842.0,849.5,842.0,846.75,63343
2020-05-21 00:00:00-04:00,846.75,848.5,833.75,835.0,96034
2020-05-22 00:00:00-04:00,835.25,839.5,828.5,833.25,95907
2020-05-26 00:00:00-04:00,832.5,849.0,832.25,847.0,120908
2020-05-27 00:00:00-04:00,848.0,851.25,843.5,848.5,89189
2020-05-28 00:00:00-04:00,848.5,852.25,838.75,847.0,82411
2020-05-29 00:00:00-04:00,846.0,846.0,837.0,840.75,93470
2020-06-01 00:00:00-04:00,843.5,849.0,834.0,840.5,119172
2020-06-02 00:00:00-04:00,840.0,856.0,838.5,850.5,125683
2020-06-03 00:00:00-04:00,851.75,858.0,851.25,857.5,107887
2020-06-04 00:00:00-04:00,857.0,873.25,855.25,867.75,150610
2020-06-05 00:00:00-04:00,868.0,873.5,865.25,867.75,138816
2020-06-08 00:00:00-04:00,869.25,871.5,861.75,864.75,117154
2020-06-09 00:00:00-04:00,864.0,866.5,856.5,863.25,141206
2020-06-10 00:00:00-04:00,863.25,869.25,863.0,865.5,117232
2020-06-11 00:00:00-04:00,865.0,869.5,861.0,866.0,114073
2020-06-12 00:00:00-04:00,866.5,873.0,863.5,871.25,134400
2020-06-15 00:00:00-04:00,870.5,871.75,864.25,869.0,103929
2020-06-16 00:00:00-04:00,870.75,873.0,864.75,867.0,108921
2020-06-17 00:00:00-04:00,866.5,875.75,860.0,871.25,115263
2020-06-18 00:00:00-04:00,871.0,876.5,870.0,873.0,101429
2020-06-19 00:00:00-04:00,873.0,880.5,871.5,876.5,87950
2020-06-22 00:00:00-04:00,875.25,879.75,872.5,876.25,94353
2020-06-23 00:00:00-04:00,876.75,879.0,865.0,875.0,121219
2020-06-24 00:00:00-04:00,875.5,877.5,870.0,870.75,90927
2020-06-25 00:00:00-04:00,870.5,871.5,861.75,869.25,69955
2020-06-26 00:00:00-04:00,869.0,871.75,862.75,865.0,97228
2020-06-29 00:00:00-04:00,864.0,869.5,860.0,866.5,37709
2020-06-30 00:00:00-04:00,865.0,891.0,864.0,884.25,10148
2020-07-01 00:00:00-04:00,883.75,898.5,883.25,893.75,4084
2020-07-02 00:00:00-04:00,893.75,898.0,890.25,892.5,791
2020-07-06 00:00:00-04:00,897.5,901.5,897.0,898.5,762
2020-07-07 00:00:00-04:00,894.0,899.25,894.0,895.25,285
2020-07-08 00:00:00-04:00,891.25,898.75,891.25,894.75,371
2020-07-09 00:00:00-04:00,903.0,907.0,898.25,898.25,171
2020-07-10 00:00:00-04:00,898.5,900.75,888.75,891.5,67
2020-07-13 00:00:00-04:00,888.0,888.75,876.5,876.5,21
2020-07-14 00:00:00-04:00,882.25,882.25,882.25,882.25,30476
2020-07-15 00:00:00-04:00,879.25,887.5,877.5,886.25,29421
2020-07-16 00:00:00-04:00,887.5,896.0,886.75,893.5,29648
2020-07-17 00:00:00-04:00,893.25,898.75,892.75,898.0,23350
2020-07-20 00:00:00-04:00,898.5,905.5,897.0,903.0,27127
2020-07-21 00:00:00-04:00,902.5,902.5,895.0,896.5,28322
2020-07-22 00:00:00-04:00,896.5,901.25,892.0,899.25,26710
2020-07-23 00:00:00-04:00,898.75,907.0,897.5,906.25,27924
2020-07-24 00:00:00-04:00,906.0,910.0,901.5,904.75,32453
2020-07-27 00:00:00-04:00,904.0,909.25,901.5,906.5,30189
2020-07-28 00:00:00-04:00,903.0,903.0,893.0,896.75,45927
2020-07-29 00:00:00-04:00,896.75,898.0,891.5,891.5,46758
2020-07-30 00:00:00-04:00,891.0,893.5,884.25,891.75,18187
2020-07-31 00:00:00-04:00,893.5,899.25,893.5,897.5,5040
2020-08-03 00:00:00-04:00,898.5,903.0,893.0,897.5,1059
2020-08-04 00:00:00-04:00,893.5,893.5,881.0,883.75,1115
2020-08-05 00:00:00-04:00,884.0,884.0,880.0,882.0,609
2020-08-06 00:00:00-04:00,882.0,886.0,880.0,880.75,207
2020-08-07 00:00:00-04:00,878.0,878.75,870.25,870.25,451
2020-08-10 00:00:00-04:00,869.5,878.25,869.5,876.5,79
2020-08-11 00:00:00-04:00,878.5,879.5,878.0,878.0,275
2020-08-12 00:00:00-04:00,880.75,890.5,878.0,890.5,447
2020-08-13 00:00:00-04:00,894.75,910.5,894.75,907.25,344
2020-08-14 00:00:00-04:00,903.0,903.5,903.0,903.5,15669
2020-08-17 00:00:00-04:00,899.5,915.0,899.0,912.5,26203
2020-08-18 00:00:00-04:00,912.0,914.75,908.0,912.0,34101
2020-08-19 00:00:00-04:00,910.5,917.75,907.75,912.5,15732
2020-08-20 00:00:00-04:00,911.75,914.0,900.5,903.0,16782
2020-08-21 00:00:00-04:00,904.5,907.75,899.5,900.75,26635
2020-08-24 00:00:00-04:00,901.0,907.75,896.75,899.75,17315
2020-08-25 00:00:00-04:00,905.0,914.75,905.0,913.75,22496
2020-08-26 00:00:00-04:00,914.0,920.25,914.0,919.5,15086
2020-08-27 00:00:00-04:00,919.75,943.75,919.5,937.25,16175
2020-08-28 00:00:00-04:00,935.75,952.5,935.75,950.5,12103
2020-08-31 00:00:00-04:00,960.25,967.0,950.75,951.25,1130
2020-09-01 00:00:00-04:00,948.0,956.5,945.0,955.0,553
2020-09-02 00:00:00-04:00,951.5,962.5,947.5,962.5,360
2020-09-03 00:00:00-04:00,962.5,968.75,962.5,968.75,323
2020-09-04 00:00:00-04:00,970.0,971.0,969.5,969.5,85
2020-09-08 00:00:00-04:00,975.75,975.75,965.0,973.0,83
2020-09-09 00:00:00-04:00,974.25,979.75,974.25,979.75,62
2020-09-10 00:00:00-04:00,983.5,986.25,982.5,985.0,32
2020-09-11 00:00:00-04:00,992.0,1025.0,992.0,1005.5,63
2020-09-14 00:00:00-04:00,1019.25,1019.25,1019.25,1019.25,137347
